Card_Number,Timestamp,Zip_Code,Amount
4000498670561373,2023-09-20 05:26:00,54616,52.03
4000498670561373,2023-04-23 10:42:00,17076,414.4
4000498670561373,2023-06-02 03:33:00,46552,1106.05
4000498670561373,2023-08-04 19:37:00,72977,4789.17
4000498670561373,2023-10-20 08:08:00,32949,2782.97
4000498670561373,2023-10-24 01:28:00,54889,1302.91
4000498670561373,2023-07-15 08:36:00,47789,2147.21
4000498670561373,2023-04-23 04:51:00,60227,504.94
4000498670561373,2023-01-14 09:31:00,65540,1397.97
4000498670561373,2023-03-09 18:23:00,93858,908.13
4000498670561373,2023-03-09 19:54:00,39633,233.22
4000498670561373,2023-09-07 16:37:00,60227,2261.73
4000498670561373,2023-12-27 04:30:00,72977,872.99
4000498670561373,2023-08-30 10:05:00,87703,1242.01
4000498670561373,2023-06-15 23:29:00,87570,2392.39
4000498670561373,2023-02-09 23:35:00,60227,3412.93
4000498670561373,2023-03-12 21:00:00,34659,4989.44
4000777403334835,2023-10-22 05:31:00,33086,1382.76
4000777403334835,2023-03-24 18:38:00,60227,1850.37
4000777403334835,2023-03-16 05:32:00,39633,611.23
4000777403334835,2023-07-18 22:33:00,54889,1527.75
4000777403334835,2023-04-05 04:35:00,87570,3513.36
4000777403334835,2023-04-05 14:36:00,20369,831.77
4000777403334835,2023-11-16 18:10:00,34659,1210.75
4000777403334835,2023-02-23 03:58:00,93858,889.52
4000777403334835,2023-12-12 03:43:00,93858,2157.51
4000777403334835,2023-07-29 02:33:00,20369,3772.24
4000777403334835,2023-09-05 01:23:00,59369,1716.18
4000777403334835,2023-02-06 21:06:00,72977,302.13
4000777403334835,2023-03-04 22:31:00,46552,1870.68
4000777403334835,2023-01-14 06:54:00,87570,2667.11
4000777403334835,2023-09-28 16:31:00,20369,2209.38
4000777403334835,2023-06-07 14:13:00,98893,3621.85
4000777403334835,2023-08-25 03:50:00,39633,3228.34
4000777403334835,2023-06-02 07:03:00,93858,4048.82
4000777403334835,2023-12-06 07:34:00,72977,2040.93
4000777403334835,2023-01-18 07:02:00,32949,4364.58
4000777403334835,2023-05-12 02:33:00,34659,2174.75
4000777403334835,2023-02-15 12:19:00,32949,4173.77
4000777403334835,2023-02-20 07:30:00,32949,3171.1
4000544684387487,2023-02-24 13:31:00,98893,1470.0
4000544684387487,2023-11-12 05:50:00,87570,1115.21
4000544684387487,2023-05-17 10:31:00,32949,3911.38
4000544684387487,2023-06-20 00:08:00,32949,4806.6
4000544684387487,2023-03-12 20:42:00,33086,2472.09
4000544684387487,2023-05-31 04:40:00,93858,2741.22
4000544684387487,2023-03-03 19:54:00,46552,1487.86
4000544684387487,2023-04-02 13:12:00,60227,738.83
4000544684387487,2023-04-24 22:26:00,34659,4845.71
4000544684387487,2023-05-24 14:52:00,71553,519.29
4000544684387487,2023-02-13 01:47:00,87570,4384.49
4000544684387487,2023-03-25 17:37:00,32949,4846.91
4000544684387487,2023-01-21 23:23:00,46552,4964.72
4000544684387487,2023-06-05 21:38:00,87570,4298.39
4000544684387487,2023-02-21 19:28:00,65540,4976.91
4000544684387487,2023-01-24 19:08:00,87703,1661.74
4000544684387487,2023-10-08 10:49:00,60227,4606.65
4000544684387487,2023-10-03 12:43:00,54616,4773.13
4000544684387487,2023-08-24 04:48:00,46552,2674.65
4000544684387487,2023-05-15 12:14:00,72977,4835.73
4000544684387487,2023-01-06 00:45:00,71553,636.71
4000544684387487,2023-10-17 23:46:00,46552,3486.37
4000736195319292,2023-05-03 05:12:00,39633,4927.68
4000736195319292,2023-05-02 11:16:00,59369,3332.88
4000736195319292,2023-07-27 20:19:00,24530,4364.65
4000736195319292,2023-04-16 17:26:00,34659,4309.46
4000736195319292,2023-06-25 18:39:00,32949,2781.59
4000736195319292,2023-01-26 08:17:00,24530,808.23
4000736195319292,2023-12-08 01:18:00,54616,2129.44
4000736195319292,2023-08-07 12:34:00,32949,4964.36
4000736195319292,2023-12-05 13:58:00,65540,905.79
4000736195319292,2023-03-12 13:49:00,54889,3435.24
4000736195319292,2023-11-16 23:59:00,46552,1165.99
4000736195319292,2023-01-10 14:43:00,87570,998.83
4000736195319292,2023-11-15 19:46:00,39633,251.19
4000736195319292,2023-06-27 14:37:00,87703,2754.51
4000736195319292,2023-11-22 08:28:00,87570,1240.34
4000736195319292,2023-08-15 07:26:00,39633,3957.08
4000736195319292,2023-10-03 08:01:00,65540,4354.21
4000736195319292,2023-12-06 22:01:00,34659,4805.56
4000736195319292,2023-10-20 11:04:00,46552,1015.12
4000736195319292,2023-10-12 11:00:00,65540,684.12
4000736195319292,2023-11-11 07:48:00,33086,2392.34
4000736195319292,2023-12-24 22:35:00,54889,573.19
4000736195319292,2023-05-15 07:52:00,20369,3627.12
4000736195319292,2023-06-17 04:10:00,46552,4730.01
4000819081222001,2023-05-13 19:35:00,54889,1361.57
4000819081222001,2023-04-01 08:14:00,87570,2880.08
4000819081222001,2023-12-31 18:21:00,71553,4892.58
4000819081222001,2023-04-26 09:09:00,46552,4905.52
4000819081222001,2023-07-19 20:22:00,54616,2727.33
4000819081222001,2023-05-13 18:44:00,71553,3248.97
4000819081222001,2023-04-04 12:44:00,17076,4289.24
4000819081222001,2023-06-27 10:30:00,60227,1126.83
4000819081222001,2023-02-23 14:53:00,54889,2660.85
4000819081222001,2023-07-13 03:46:00,34659,2736.12
4000432928869748,2023-08-11 14:33:00,54616,2944.81
4000432928869748,2023-07-11 07:20:00,47789,125.85
4000432928869748,2023-11-28 07:59:00,39633,2906.76
4000432928869748,2023-07-30 00:35:00,87703,3042.14
4000432928869748,2023-12-23 01:35:00,24530,3668.75
4000432928869748,2023-07-24 22:12:00,60227,3861.02
4000432928869748,2023-12-26 06:35:00,65540,783.04
4000432928869748,2023-01-10 05:05:00,24530,228.89
4000432928869748,2023-02-12 16:06:00,59369,1813.44
4000432928869748,2023-05-30 04:28:00,32949,2736.47
4000432928869748,2023-10-22 23:26:00,20369,4130.51
4000432928869748,2023-02-15 11:33:00,59369,1734.61
4000432928869748,2023-01-26 15:44:00,47789,1208.44
4000432928869748,2023-03-01 00:45:00,60227,2925.34
4000432928869748,2023-05-12 18:43:00,59369,1386.43
4000432928869748,2023-08-15 06:17:00,59369,3265.94
4000432928869748,2023-07-28 16:57:00,87570,3492.81
4000432928869748,2023-04-23 20:17:00,98893,3762.13
4000432928869748,2023-04-11 19:01:00,72977,2338.92
4000610917144562,2023-02-14 03:47:00,98893,224.22
4000610917144562,2023-11-17 16:17:00,39633,3566.66
4000610917144562,2023-01-16 15:58:00,34659,379.35
4000610917144562,2023-01-17 15:22:00,87570,4128.1
4000610917144562,2023-02-27 13:41:00,17076,4796.59
4000610917144562,2023-05-05 21:08:00,39633,739.19
4000610917144562,2023-01-16 16:22:00,32949,782.34
4000610917144562,2023-12-20 21:56:00,46552,4427.21
4000610917144562,2023-02-04 08:24:00,54889,2256.62
4000610917144562,2023-09-16 22:11:00,71553,678.65
4000610917144562,2023-01-23 20:29:00,93858,1466.46
4000610917144562,2023-06-16 03:35:00,71553,1920.01
4000610917144562,2023-07-17 21:57:00,72977,4636.3
4000610917144562,2023-11-26 08:51:00,34659,705.27
4000610917144562,2023-09-27 20:28:00,46552,2000.61
4000610917144562,2023-12-03 00:45:00,87703,3308.98
4000610917144562,2023-05-07 21:10:00,20369,3373.19
4000610917144562,2023-12-29 13:55:00,72977,266.53
4000610917144562,2023-11-05 08:23:00,24530,1083.93
4000610917144562,2023-04-10 17:07:00,47789,3312.35
4000610917144562,2023-02-01 03:03:00,59369,3946.24
4000610917144562,2023-05-11 14:49:00,17076,3215.17
4000610917144562,2023-09-17 01:22:00,60227,3211.45
4000610917144562,2023-01-01 08:20:00,98893,740.06
4000681634999496,2023-10-28 17:20:00,71553,355.03
4000681634999496,2023-04-28 07:23:00,39633,344.42
4000681634999496,2023-10-09 05:56:00,93858,4568.38
4000681634999496,2023-12-20 09:27:00,59369,3906.0
4000681634999496,2023-02-16 17:43:00,87570,2335.96
4000681634999496,2023-03-04 20:38:00,72977,490.22
4000681634999496,2023-09-18 05:53:00,60227,1295.29
4000681634999496,2023-07-07 14:49:00,65540,3918.98
4000681634999496,2023-05-10 05:28:00,72977,1016.57
4000681634999496,2023-09-30 10:56:00,47789,4907.12
4000681634999496,2023-10-10 06:15:00,46552,3794.97
4000407982502282,2023-09-03 21:39:00,87703,3428.6
4000407982502282,2023-11-09 19:25:00,39633,1055.37
4000407982502282,2023-11-19 01:03:00,34659,3246.1
4000407982502282,2023-12-12 01:14:00,54616,3838.57
4000407982502282,2023-09-10 16:34:00,71553,1991.85
4000407982502282,2023-05-27 05:37:00,87703,4588.56
4000407982502282,2023-04-29 02:28:00,72977,2847.42
4000407982502282,2023-08-29 09:26:00,71553,4738.93
4000407982502282,2023-06-17 16:58:00,93858,3045.13
4000407982502282,2023-10-06 12:50:00,24530,4922.81
4000407982502282,2023-08-18 20:39:00,71553,4521.77
4000787887797011,2023-10-30 08:12:00,98893,766.67
4000787887797011,2023-09-20 02:34:00,34659,4730.97
4000787887797011,2023-02-19 08:46:00,33086,697.45
4000787887797011,2023-05-06 12:56:00,32949,1237.75
4000787887797011,2023-08-12 16:29:00,20369,4596.53
4000787887797011,2023-08-28 00:50:00,87570,1181.86
4000787887797011,2023-05-21 19:08:00,47789,4499.47
4000787887797011,2023-08-31 00:00:00,34659,783.77
4000787887797011,2023-12-19 06:04:00,98893,3509.98
4000787887797011,2023-07-27 21:48:00,32949,19.09
4000787887797011,2023-12-08 11:38:00,65540,2063.37
4000787887797011,2023-12-17 19:28:00,72977,1671.34
4000787887797011,2023-03-15 18:53:00,87703,4433.36
4000787887797011,2023-08-09 08:37:00,47789,1327.5
4000787887797011,2023-03-14 03:39:00,33086,2593.79
